product_id,title,review_total,product_link,city_name,booked,variations.package_name,variations.variationsDetail.name,variations.variationsDetail.price,variations.variationsDetail.market_price,variations.variationsDetail.agent_price,variations.variationsDetail.agent_market_price,variations.variationsDetail.minimum_selling_price,variations
3792,Aquaria KLCC Ticket in Kuala Lumpur,19307,https://www.klook.com/en-GB/activity/3792-aquaria-klcc-kuala-lumpur/,Kuala Lumpur,515690,[Weekday] Malaysian Passport Holder Admission,Adult,39.00,49.00,34.99,49.00,39.00,"{""package_name"":""[Weekday] Malaysian Passport Holder Admission"",""variationsDetail"":{""name"":""Adult"",""price"":""39.00"",""market_price"":""49.00"",""agent_price"":""34.99"",""agent_market_price"":""49.00"",""minimum_selling_price"":""39.00""}}"
3792,Aquaria KLCC Ticket in Kuala Lumpur,19307,https://www.klook.com/en-GB/activity/3792-aquaria-klcc-kuala-lumpur/,Kuala Lumpur,515690,[Weekday] Malaysian Passport Holder Admission,Child(3-12),29.00,39.00,24.39,39.00,29.00,"{""package_name"":""[Weekday] Malaysian Passport Holder Admission"",""variationsDetail"":{""name"":""Child(3-12)"",""price"":""29.00"",""market_price"":""39.00"",""agent_price"":""24.39"",""agent_market_price"":""39.00"",""minimum_selling_price"":""29.00""}}"
3792,Aquaria KLCC Ticket in Kuala Lumpur,19307,https://www.klook.com/en-GB/activity/3792-aquaria-klcc-kuala-lumpur/,Kuala Lumpur,515690,[Weekend & Public Holidays] Malaysian Passport Holder Admission,Adult,45.00,49.00,41.35,49.00,45.00,"{""package_name"":""[Weekend & Public Holidays] Malaysian Passport Holder Admission"",""variationsDetail"":{""name"":""Adult"",""price"":""45.00"",""market_price"":""49.00"",""agent_price"":""41.35"",""agent_market_price"":""49.00"",""minimum_selling_price"":""45.00""}}"
3792,Aquaria KLCC Ticket in Kuala Lumpur,19307,https://www.klook.com/en-GB/activity/3792-aquaria-klcc-kuala-lumpur/,Kuala Lumpur,515690,[Weekend & Public Holidays] Malaysian Passport Holder Admission,Child(3-12),35.00,39.00,30.75,39.00,35.00,"{""package_name"":""[Weekend & Public Holidays] Malaysian Passport Holder Admission"",""variationsDetail"":{""name"":""Child(3-12)"",""price"":""35.00"",""market_price"":""39.00"",""agent_price"":""30.75"",""agent_market_price"":""39.00"",""minimum_selling_price"":""35.00""}}"
3792,Aquaria KLCC Ticket in Kuala Lumpur,19307,https://www.klook.com/en-GB/activity/3792-aquaria-klcc-kuala-lumpur/,Kuala Lumpur,515690,[Weekday] Family Combo - Malaysian Passport Holder Admission,2 Adult + 1 Child ,100.00,137.00,94.35,137.00,null,"{""package_name"":""[Weekday] Family Combo - Malaysian Passport Holder Admission"",""variationsDetail"":{""name"":""2 Adult + 1 Child "",""price"":""100.00"",""market_price"":""137.00"",""agent_price"":""94.35"",""agent_market_price"":""137.00"",""minimum_selling_price"":null}}"
3792,Aquaria KLCC Ticket in Kuala Lumpur,19307,https://www.klook.com/en-GB/activity/3792-aquaria-klcc-kuala-lumpur/,Kuala Lumpur,515690,[Weekday] Family Combo - Malaysian Passport Holder Admission,2 Adult + 2 Child ,126.00,176.00,118.75,176.00,null,"{""package_name"":""[Weekday] Family Combo - Malaysian Passport Holder Admission"",""variationsDetail"":{""name"":""2 Adult + 2 Child "",""price"":""126.00"",""market_price"":""176.00"",""agent_price"":""118.75"",""agent_market_price"":""176.00"",""minimum_selling_price"":null}}"
3792,Aquaria KLCC Ticket in Kuala Lumpur,19307,https://www.klook.com/en-GB/activity/3792-aquaria-klcc-kuala-lumpur/,Kuala Lumpur,515690,[Weekend] Family Combo - Malaysian Passport Holder Admission,2 Adult + 1 Child,117.00,137.00,113.45,137.00,null,"{""package_name"":""[Weekend] Family Combo - Malaysian Passport Holder Admission"",""variationsDetail"":{""name"":""2 Adult + 1 Child"",""price"":""117.00"",""market_price"":""137.00"",""agent_price"":""113.45"",""agent_market_price"":""137.00"",""minimum_selling_price"":null}}"
3792,Aquaria KLCC Ticket in Kuala Lumpur,19307,https://www.klook.com/en-GB/activity/3792-aquaria-klcc-kuala-lumpur/,Kuala Lumpur,515690,[Weekend] Family Combo - Malaysian Passport Holder Admission,2 Adult + 2 Child,148.80,176.00,144.19,176.00,null,"{""package_name"":""[Weekend] Family Combo - Malaysian Passport Holder Admission"",""variationsDetail"":{""name"":""2 Adult + 2 Child"",""price"":""148.80"",""market_price"":""176.00"",""agent_price"":""144.19"",""agent_market_price"":""176.00"",""minimum_selling_price"":null}}"
3792,Aquaria KLCC Ticket in Kuala Lumpur,19307,https://www.klook.com/en-GB/activity/3792-aquaria-klcc-kuala-lumpur/,Kuala Lumpur,515690,[Weekend & Public Holidays] Non-Malaysian Passport Holder Admission,Adult,54.00,71.00,53.00,71.00,null,"{""package_name"":""[Weekend & Public Holidays] Non-Malaysian Passport Holder Admission"",""variationsDetail"":{""name"":""Adult"",""price"":""54.00"",""market_price"":""71.00"",""agent_price"":""53.00"",""agent_market_price"":""71.00"",""minimum_selling_price"":null}}"
3792,Aquaria KLCC Ticket in Kuala Lumpur,19307,https://www.klook.com/en-GB/activity/3792-aquaria-klcc-kuala-lumpur/,Kuala Lumpur,515690,[Weekend & Public Holidays] Non-Malaysian Passport Holder Admission,Child(3-12),44.00,61.00,42.40,61.00,null,"{""package_name"":""[Weekend & Public Holidays] Non-Malaysian Passport Holder Admission"",""variationsDetail"":{""name"":""Child(3-12)"",""price"":""44.00"",""market_price"":""61.00"",""agent_price"":""42.40"",""agent_market_price"":""61.00"",""minimum_selling_price"":null}}"
1303,Sunway Lagoon Ticket in Malaysia,7283,https://www.klook.com/en-GB/activity/1303-sunway-lagoon-kuala-lumpur/,Kuala Lumpur,221293,Admission Ticket,Malaysian Adult,128.00,150.00,108.15,150.00,null,"{""package_name"":""Admission Ticket"",""variationsDetail"":{""name"":""Malaysian Adult"",""price"":""128.00"",""market_price"":""150.00"",""agent_price"":""108.15"",""agent_market_price"":""150.00"",""minimum_selling_price"":null}}"
1303,Sunway Lagoon Ticket in Malaysia,7283,https://www.klook.com/en-GB/activity/1303-sunway-lagoon-kuala-lumpur/,Kuala Lumpur,221293,Admission Ticket,Malaysian Child (age 0-12 and above 90cm),103.00,125.00,97.55,125.00,103.00,"{""package_name"":""Admission Ticket"",""variationsDetail"":{""name"":""Malaysian Child (age 0-12 and above 90cm)"",""price"":""103.00"",""market_price"":""125.00"",""agent_price"":""97.55"",""agent_market_price"":""125.00"",""minimum_selling_price"":""103.00""}}"
